Brain id,Resolution_x,Resolution_y,Resolution_z
17302,0.2,0.2,1
17543,0.2,0.2,1
17545,0.2,0.2,1
17781,0.2,0.2,1
17782,0.2,0.2,1
17787,0.2,0.2,1
18047,0.23,0.23,1
18452,0.23,0.23,1
18454,0.23,0.23,1
18455,0.23,0.23,1
18457,0.23,0.23,1
18458,0.23,0.23,1
18462,0.23,0.23,1
18463,0.23,0.23,1
18464,0.23,0.23,1
18465,0.23,0.23,1
18869,0.35,0.35,1
18453,0.23,0.23,1
17788,0.2,0.2,1
18459,0.23,0.23,1
18461,0.23,0.23,1
18466,0.23,0.23,1
18467,0.23,0.23,1
18468,0.23,0.23,1
18469,0.23,0.23,1
18470,0.23,0.23,1
18471,0.23,0.23,1
18472,0.23,0.23,1
18671,0.23,0.23,1
18860,0.23,0.23,1
18861,0.23,0.23,1
18862,0.23,0.23,1
18864,0.23,0.23,1
18865,0.23,0.23,1
18866,0.23,0.23,1
18867,0.23,0.23,1
18868,0.23,0.23,1
18053,0.23,0.23,1
18872,0.23,0.23,1
236174,0.23,0.23,1
182722,0.23,0.23,1
191804,0.35,0.35,1
191803,0.35,0.35,1
191798,0.35,0.35,1
191797,0.35,0.35,1
182712,0.23,0.23,1
191801,0.35,0.35,1
191807,0.35,0.35,1
17052,0.2,0.2,1
17109,0.2,0.2,1
17300,0.2,0.2,1
17301,0.2,0.2,1
17304,0.2,0.2,1
17539,0.23,0.23,1
17541,0.2,0.2,1
17542,0.2,0.2,1
18049,0.23,0.23,1
17544,0.2,0.2,1
17783,0.2,0.2,1
17785,0.2,0.2,1
17786,0.2,0.2,1
18052,0.23,0.23,1
